  36 UMa~ 1  4 27 50 +39 45 3   Quæ sub Cauda ad Austrum ab ea distat
  37 UMa~ 2  4 20 10 +41 20 5       Hanc præcedit obscurior
  38 UMa~ 3  3 15 00 +17 15 4       Inter Pedes priores Ursæ & Caput Leonis, Austrina
  39 UMa~ 4  3 13 20 +19 10 4       Hac borealior
  40 UMa~ 5  3 16 10 +20 00 obs     Reliquarum trium obscuriorum sequens
  41 UMa~ 6  3 12 10 +22 50 obs                             hanc præit
  42 UMa~ 7  3 11 10 +23 00 obs     Hanc adhuc præcedit
  43 UMa~ 8  3 00*00 +22 15 obs     Inter Pedes priores & Geminos
  44 Dra  1  6 26 40 +76 30 4   Quæ in Lingua
  45 Dra  2  7 11 50 +78 30 4       In Ore
  46 Dra  3  7 13 10 +75 40 3       Supra Oculum
  47 Dra  4  7 27 20 +80 20 4       Ad Genam
  48 Dra  5  7 29 40 +75 30 3       Supra Caput
  49 Dra  6  8 24 40 +82 20 4       Trium in recta in prima inflectione Borea
  50 Dra  7  9 02 20 +78 15 4                                           Australis
  51 Dra  8  8 28 50 +80 20 4                                           Media
  52 Dra  9  9 19 30 +81 10 4       Hanc sequens ad Ortum
  53 Dra 10 11 08 00 +81 40 4       In {quad}o inflexionis primæ præcedentis lateris Borea
  54 Dra 11 11 20 30 +83 00 4                                                        Αustrina
  55 Dra 12  0 07 40 +78 50 4       Borea sequentis lateris
  56 Dra 13 11 22 50 +77 50 4       Australis sequentis lateris
  57 Dra 14  0 10 40 +80 30 5       Australis {tri} in sequente flexu
  58 Dra 15  0 21 40 +81 20 5       Reliquarum duarum in dicto {tri}o præcedens
  59 Dra 16  0 26 10 +80 15 5                                         sequens
  60 Dra 17  2 13 20 +84 30 4       Trium in {tri}o deinceps præcedente sequens
  61 Dra 18  1 20 20 +83 30 4       Reliquarum duarum in præced. Triangulo Borealior
  62 Dra 19  1 11 50 +84 50 4                                              Australior
  63 Dra 20  3 28 40 +87 30 6       Duarum ad Occidentem a {tri}o dicto sequens
  64 Dra 21  3 21 40 +86 50 6                                            præcedens
  65 Dra 22  5 09 00 +81 15 5       Trium deinceps in recta Australior
  66 Dra 23  5 09 20 +80 20 5                               Media
  67 Dra 24  5 08 20 +84 50 3                               Borealior
  68 Dra 25  5 10 00 +78 00 3       Duarum inde Occidentem versus, Borealior
  69 Dra 26  5 13 00 +74 20 4                                      Australior
  70 Dra 27  5 12 40 +70 00 3       Post has Occidentem versus in flexu Caudæ
  71 Dra 28  4 07 20 +64 40 4       Præcedens duarum sat ab his distantium
  72 Dra 29  4 11 10 +65 30 3       Sequens
  73 Dra 30  3 19 10 +61 15 3       Has sequitur juxta Caudam
  74 Dra 31  3 13 10 +56 15 3       In Extremitate Caudæ
  75 Cep  1  1 09 00 +75 40 4   Quæ in Pede dextro
  76 Cep  2  1 03 00 +64 15 4       In Pede sinistro
  77 Cep  3  0 07 20 +71 10 4       In Cingulo ad dextrum Latus
  78 Cep  4 11 16 40 +69 00 3       Tangit dextrum Humerum
  79 Cep  5 11 09 20 +72 00 4       Ad dextri Brachii Anconem ipsum tangens
  80 Cep  6 11 10 00 +74 00 4       Sub eodem Ancone ipsum tangens
  81 Cep  7 11 28 30 +65 30 5       In Pectore
  82 Cep  8  0 07 30 +62 30 4       In sinistro Brachio
  83 Cep  9 11 16 20 +60 15 5       Trium in Tiara Australis
  84 Cep 10 11 17 20 +61 15 4                      Media
  85 Cep 11 11 19 00 +61 20 5                      Borealis
  86 Cep~ 1 11 13 40 +60 15 5       Præcedit Tiaram
  87 Cep~ 2 11 21 20 +59 30 4       Sequitur Tiaram
  88 Boo  1  5 02 20 +58 40 5   Quæ trium in sinistra Manu præcedens
  89 Boo  2  5 04 10 +58 20 5                              media
  90 Boo  3  5 09 40 +60 10 5                              sequens
  91 Boo  4  5 09 40 +54 40 5   Quæ in sinistri Brachii Ancone
  92 Boo  5  5 19 40 +49 00 4       In sinistro Humero
  93 Boo  6  5 26 40 +53 50 4       In Capite
  94 Boo  7  6 05 40 +48 40 4       In dextro Humero
  95 Boo  8  6 05 40 +53 15 4       His borealior, in Baculo recurvo
  96 Boo  9  6 05 00 +57 30 4       Hac adhuc borealior in Extremitate Baculi
  97 Boo 10  6 07 40 +46 30 4       Duarum sub Humero in Baculo, Borealior
  98 Boo 11  6 08 30 +45 30 5                                    Australior
  99 Boo 12  6 08 10 +41 40 5       In manu dextra
 100 Boo 13  6 06 40 +41 40 5       Duarum in Carpo præcedens
 101 Boo 14  6 07 00 +42 30 5                       sequens
 102 Boo 15  6 07 40 +40 20 5       In extremo manubrio Baculi recurvi
 103 Boo 16  6 00 00 +40 15 3       Ad dextrum Femur in Perizomate
 104 Boo 17  5 25 40 +41 40 4       Duarum in Cingulo sequens
 105 Boo 18  5 25 00 +42 10 4                         præcedens
 106 Boo 19  6 05 20 +28 00 3       In dextro Calcaneo
 107 Boo 20  5 21 20 +28 00 3       Borea trium in sinistro Crure
 108 Boo 21  5 20 30 +26 30 4       Media
 109 Boo 22  5 21 20 +25 00 4       Austrina
 110 Boo~ 1  5 27 00 +31 30 1       Inter Femora rutilans dicta Arcturus
 111 CrB  1  6 14 40 +44 30 2   Quæ Est in Corona
 112 CrB  2  6 11 40 +46 10 4       Omnes præcedit
 113 CrB  3  6 11 50 +48 00 5       Hanc sequitur borealior
 114 CrB  4  6 13 40 +50 30 6       Hanc adhuc sequitur & borealior est
 115 CrB  5  6 17 10 +44 45 4       Lucidam sequitur ab Austro
 116 CrB  6  6 19 10 +44 50 4       Sequitur 5am in propinquo
 117 CrB  7  6 21 20 +46 10 4       Post has rursum sequitur
 118 CrB  8  6 21 40 +49 20 4       Omnes in Corona sequitur
 119 Her  1  7 17 40 +37 30 3   Quæ in Capite
 120 Her  2  7 03 40 +43 00 3       Duarum in dextro Humero juxta Axillam
 121 Her  3  7 01 40 +40 10 3       In dextro Brachio
 122 Her  4  6 28 00 +37 10 4       In dextri Brachii Ancone
 123 Her  5  7 16 40 +48 00 3       In sinistro Humero
 124 Her  6  7 22 00 +49 30 4       In sinistro Brachio
 125 Her  7  7 27 40 +52 00 4       In sinistri Brachii Ancone
 126 Her  8  8 05 30 +52 50 4       In sinistro Carpo trium sequens
 127 Her  9  8 01 40 +54 00 4                               Borea
 128 Her 10  8 01 30 +53 00 4                               Austrina
 129 Her 11  8 06 50 +53 00 4       In dextro Latere
 130 Her 12  7 10 10 +53 30 5       In sinistro Latere
 131 Her 13  7 10 00 +56 30 5       Hac borealior in summo Clune Femore sinistro
 132 Her 14  7 11 10 +58 30 3       In Eductione ejusdem Femoris
 133 Her 15  7 14 00 +59 50 4       Trium in sinistro Femore præcedens
 134 Her 16  7 15 20 +63 00 4                                sequens
 135 Her 17  7 16 20 +61 15 4                    tertia hanc sequens
 136 Her 18  8 00 50 +61 00 4       In Genu sinistro
 137 Her 19  7 22 10 +69 20 4   Quæ In Anteriore parte sinistræ Tibiæ
 138 Her 20  7 15 20 +70 15 6       In Pede sinistro trium præcedens
 139 Her 21  7 16 50 +71 15 6                              media
 140 Her 22  7 19 40 +72 15 6                              sequens
 141 Her 23  7 00 40 +60 15 4       In Eductione dextri Femoris
 142 Her 24  6 25 20 +63 00 4       In Femore & hac Borealior
 143 Her 25  6 15 40 +65 30 4       In dextro Genu
 144 Her 26  6 13 20 +63 40 4       Duarum sub dextro Genu Australior
 145 Her 27  6 10 10 +64 15 4                              Borealior
 146 Her 28  6 11 10 +60 00 4       In dextro Crure
 147 Her 29  6 05 00 +57 30 4       In Extremitate Pedis dextri
 148 Her~ 1  7 02 40 +35 30 5       Australior illa in dextro Brachio
 149 Lyr  1  8 17 20 +62 00 1   Quæ in Testa fulgida dicta Lyra
 150 Lyr  2  8 20 20 +62 40 4       Duarum huic adjacentium Borea
 151 Lyr  3  8 20 20 +61 00 4                               Austrina
 152 Lyr  4  8 28 40 +60 00 4       Media inter Eductionem Cornuum
 153 Lyr  5  9 02 00 +61 20 4       Duarum sequen. ad Ortum, a Testa contig. Borea
 154 Lyr  6  9 01 40 +60 20 4                                                Austrina
 155 Lyr  7  8 21 00 +56 10 3       Duarum in Jugimento præcedentium Borealior
 156 Lyr  8  8 20 30 +55 00 4                                        Australior
 157 Lyr  9  8 24 10 +55 20 3       Duarum in Jugimento sequentium Borea
 158 Lyr 10  8 21 00 +54 45 4                                      Austrina
 159 Cyg  1  9 04 30 +49 00 5   Quæ in Ore
 160 Cyg  2  9 09 00 +50 30 3       In Capite hanc sequitur
 161 Cyg  3  9 16 20 +54 30 4       In medio Colli
 162 Cyg  4  9 28 30 +57 20 3       In Pectore
 163 Cyg  5 10 09 10 +60 00 2       In Cauda Splendida
 164 Cyg  6  9 19 20 +64 40 3       In Ancone Alæ dextræ
 165 Cyg  7  9 22 30 +69 40 4       Trium in dextra Ala Austrina
 166 Cyg  8  9 21 10 +71 30 4                           Media
 167 Cyg  9  9 16 40 +74 00 4                           Borea
 168 Cyg 10 10 00 50 +49 30 3       In Ancone sinistræ Alæ
 169 Cyg 11 10 03 50 +52 10 4       Hac Borealior in medio ejusdem Alæ
 170 Cyg 12 10 06 40 +44 00 3       In Extremitate Alæ sinistræ
 171 Cyg 13 10 10 00 +55 10 4       In sinistro Pede
 172 Cyg 14 10 14 30 +57 00 4       In Genu sinistro
 173 Cyg 15 10 01 10 +64 00 4       Duarum in dextro Pede, præcedens
 174 Cyg 16 10 02 40 +64 30 4                              sequens
 175 Cyg 17 10 12 10 +63 45 5       In Genu dextro
 176 Cyg~ 1 10 10 40 +49 40 4       Duarum sub sinistra Ala Australior
 177 Cyg~ 2 10 13 50 +51 40 4                               Borealior
 178 Cas  1  0 07 50 +45 20 4   Quæ in Capite
 179 Cas  2  0 10 50 +46 45 3       In Pectore
 180 Cas  3  0 13 00 +47 50 4       Hac Borealior in Cingulo
 181 Cas  4  0 16 40 +49 00 3       In Coxis
 182 Cas  5  0 20 40 +45 30 3       In Genibus
 183 Cas  6  0 27 00 +47 45 4       In Crure
 184 Cas  7  1 01 40 +47 20 4       In Extremitate Pedis
 185 Cas  8  0 14 40 +44 20 4       In sinistro Brachio infra Anconem
 186 Cas  9  0 17 20 +45 00 5       In sinistro Brachio
 187 Cas 10  0 02 20 +50 00 6       In dextro Cubito
 188 Cas 11  0 15 00 +52 40 4       Supra Scabellum Throni
 189 Cas 12  0 07 50 +51 40 3       In medio Sedis
 190 Cas 13  0 03 40 +51 40 6       In Summitate ejusdem
 191 Per  1  0 26 40 +40 30 neb Quæ in Manu dextra
 192 Per  2  1 01 10 +37 45 4       In dextro Brachio
 193 Per  3  1 02 40 +34 30 3       In dextro Humero
 194 Per  4  0 27 30 +32 30 4       In sinistro Humero
 195 Per  5  1 00 40 +34 30 4       In Capite
 196 Per  6  1 01 30 +31 10 4       ο επι του μεταφρενου infra Pectus ad interscapilium
 197 Per  7  1 04 50 +30 00 2       in dextro Latere Lucida
 198 Per  8  1 05 20 +27 50 4       Trium post hanc in Latere præcedens
 199 Per  9  1 07 00 +27 40 4                                 media
 200 Per 10  1 07 40 +27 20 3                                 sequens
 201 Per 11  1 00 30 +27 00 4       In sinistri Brachii Ancone
 202 Per 12  0 29 40 +23 00 2       In Capite Gorgonis Lucida
 203 Per 13  0 29 10 +21 00 4       Hanc sequitur
 204 Per 14  0 27 40 +21 00 4       Præcedit Lucidam
 205 Per 15  0 26 50 +22 15 4       Reliqua dextrum præcedens
 206 Per 16  1 14 50 +28 00 4       In dextro Genu
 207 Per 17  1 13 00 +28 10 4       Ad Genu dextrum præcedens
 208 Per 18  1 12 20 +25 00 4       Duarum supra Poplitem præcedens
 209 Per 19  1 14 00 +26 15 4       In eodem Poplite sequens
 210 Per 20  1 14 10 +24 30 5       In dextra Sura
 211 Per 21  1 16 20 +18 45 5       In dextri Pedis Talo (vel Malleolo)
 212 Per 22  1 06 50 +21 50 4       In Femore sinistro
 213 Per 23  1 08 40 +19 15 3       In sinistro Genu
 214 Per 24  1 08 20 +14 45 4       In sinistro Crure
 215 Per 25  1 04 10 +12 00 3       In sinistro Calcaneo
 216 Per 26  1 06 20 +11 00 3       Hanc sequitur in Extremo Pede sinistro
 217 Per~ 1  1 11 50 +18 00 5       Ad Ortum ab illa in sinistro Genu
 218 Per~ 2  1 15 00 +31 00 5       Ad Boream ab iis in dextro Genu
 219 Per~ 3  0 24 20 +20 40 obs     Illas in Gorgonio præcedit
 220 Aur  1  2 02 30 +30 00 4   Quæ Duarum in Capite Australior
 221 Aur  2  2 02 20 +31 50 4       Illarum Borealior supra Caput
 222 Aur  3  1 25 00 +22 30 1       In Humero sinistro dicta Capella
 223 Aur  4  2 02 50 +20 00 2       In dextro Humero
 224 Aur  5  2 01 10 +15 15 4       in dextri Brachii Ancone
 225 Aur  6  2 02 50 +13 20 4   Quæ In dextro Carpo
 226 Aur  7  1 22 00 +20 40 4       In sinistri Brachii Ancone
 227 Aur  8  1 22 10 +18 00 4       In sinistro Carpo duarum sequens   | dictar. Hædi
 228 Aur  9  1 22 00 +18 00 4                                præcedens |
 229 Aur 10  1 19 50 +10 10 6       In sinistri Pedis Malleolo
 230 Aur 11  1 25 40 +05 00 6       In dextri Pedis Mall. comm. cum Cornu Tauri Boreo
 231 Aur 12  1 26 00 +08 30 5       Supra hanc ad Septent. in Volucro Pedis Stramineo
 232 Aur 13  1 26 20 +12 10 5       Hac adhuc Borealior in summo Femore Clune
 233 Aur 14  1 20 40 +10 20 5       Supra sinistrum Pedem parvula
 234 Oph  1  7 24 50 +36 00 3   Quæ in Capite
 235 Oph  2  7 28 00 +27 15 4       Duarum in dextro Humero præcedens
 236 Oph  3  7 29 00 +26 30 4                               sequens
 237 Oph  4  7 13 20 +33 00 4       Duarum in sinistro Humero præcedens
 238 Oph  5  7 14 40 +31 50 4                                 sequens
 239 Oph  6  7 08 40 +23 50 4       In Ancone sinistri Brachii
 240 Oph  7  7 05 00 +17 00 3       Duarum in sinistra Manu præcedens
 241 Oph  8  7 06 00 +16 30 3                               sequens
 242 Oph  9  7 26 40 +15 00 4       In Ancone dextri Brachii
 243 Oph 10  8 02 20 +13 40 4       Duarum in dextra Manu præcedens
 244 Oph 11  8 03 20 +14 00 4                             sequens
 245 Oph 12  7 21 10 +07 30 3       In dextro Genu
 246 Oph 13  7 26 20 +02 15 4       In Crure dextro
 247 Oph 14  7 23 00 -02 15 4       De quatuor in dextro Pede præcedens
 248 Oph 15  7 24 20 -01 30 4       Hanc sequitur
 249 Oph 16  7 25 00 -00 20 4       Hanc adhuc sequitur
 250 Oph 17  7 25 50 -00 45 5       Reliqua των quatuor sequens
 251 Oph 18  7 27 10 -01 00 5       Has sequitur tangens Calcaneum
 252 Oph 19  7 12 10 +11 50 3       In sinistro Genu
 253 Oph 20  7 11 40 +05 20 5       Trium in recta in sinistra Tibia Borea
 254 Oph 21  7 10 40 +03 10 5                                        Media
 255 Oph 22  7 09 50 +01 20 5                                        Austrina
 256 Oph 23  7 12 20 +00 40 5       Cavum tangit sinistri Pedis
 257 Oph 24  7 10 40 -00 45 4       Plantum tangit sinistri Pedis
 258 Oph~ 1  8 02 00 +28 10 4       Trium ad Ortum a dextro Humero, Borea
 259 Oph~ 2  8 02 40 +26 20 4                                       Media
 260 Oph~ 3  8 03 00 +25 00 4                                       Austrina
 261 Oph~ 4  8 03 40 +27 00 4       Tres has sequitur quasi supra Mediam
 262 Oph~ 5  8 04 40 +33 00 4       Solitaria των Borealissima
 263 Ser  1  6 18 50 +38 00 4   Quæ in Quadrilatero Capitis in Gena Extrema
 264 Ser  2  6 21 40 +40 00 4       Nares tangit
 265 Ser  3  6 24 20 +36 00 3       In Temporibus
 266 Ser  4  6 22 00 +35 00 3       In Eductione Colli
 267 Ser  5  6 21 20 +37 15 4       In medio Quadrilateri & in Ore
 268 Ser  6  6 23 10 +42 30 4       Extra a Capite ad Septentrionem
 269 Ser  7  6 21 40 +29 15 3       In primo flexu Colli
 270 Ser  8  6 24 50 +26 30 4       Trium hanc sequentium Borea
 271 Ser  9  6 24 20 +25 20 3                             Media
 272 Ser 10  6 26 20 +24 00 3   Quæ trium hanc sequentium Austrina
 273 Ser 11  6 28 50 +16 30 4       Post flexum sequent. sinist. Manum Ophiuchi præced.
 274 Ser 12  7 08 10 +16 15 5       Duas in Manu Ophiuch. sequitur
 275 Ser 13  7 23 40 +10 30 4       Post dextrum Femur Ophiuchi
 276 Ser 14  7 27 00 +08 10 4       Duarum hanc sequentium Australior
 277 Ser 15  7 27 50 +10 50 4                              Borealior
 278 Ser 16  8 03 40 +20 00 4       Post dextram Manum in flexu Caudæ
 279 Ser 17  8 08 40 +21 10 4       Hanc sequitur etiam in Cauda
 280 Ser 18  8 18 20 +27 00 4       In Extremitate Caudæ
 281 Sge  1  9 10 10 +39 20 4   Quæ in Cuspide Solitaria
 282 Sge  2  9 06 40 +39 10 6       Trium in Arundine sequens
 283 Sge  3  9 05 50 +39 50 5                         media
 284 Sge  4  9 04 40 +39 00 5                         præcedens
 285 Sge  5  9 03 20 +38 20 5       In Extremitate Glyphidis
 286 Aql  1  9 07 10 +26 50 4   Quæ In medio Capite
 287 Aql  2  9 04 50 +27 10 3       Hanc præcedit in Collo
 288 Aql  3  9 03 50 +29 10 2       Lucida inter Humeros
 289 Aql  4  9 04 40 +31 00 3       Huic propinqua Septentrionem versus
 290 Aql  5  9 03 10 +31 30 3       Duarum in sinistro Humero præcedens
 291 Aql  6  9 06 00 +31 30 5       Hanc sequitur
 292 Aql  7  8 29 40 +28 40 5       Duarum in dextro Humero præcedens
 293 Aql  8  9 01 10 +26 20 5       Ipsam sequitur
 294 Aql  9  8 22 10 +36 30 6       Sub Cauda Aquilæ, tangit Galaxiam
 295 Aql~ 1  9 03 40 +21 40 3       Duarum ad Austrum a Capite Aquilæ præcedens
 296 Aql~ 2  9 08 50 +19 10 3                                         sequens
 297 Aql~ 3  8 26 00 +25 00 4       A dextro Humero Africum versus
 298 Aql~ 4  8 28 10 +20 00 3       Ab hac Austrum versus
 299 Aql~ 5  8 29 40 +15 30 5       Hac adhuc Australior
 300 Aql~ 6  8 21 10 +18 10 3       Omnes præcedit
 301 Del  1  9 17 40 +29 10 2   Quæ Trium in Cauda præcedens
 302 Del  2  9 18 40 +29 00 4       Reliquarum duarum Borealior
 303 Del  3  9 18 40 +27 45 4                         Australior
 304 Del  4  9 18 30 +32 00 3       Austrina præcedentis Lateris quadrilateri
 305 Del  5  9 20 00 +33 20 3       Borea
 306 Del  6  9 21 20 +32 00 3       Austina sequentis Lateris {quad}i
 307 Del  7  9 23 10 +33 10 3       Borea
 308 Del  8  9 17 30 +30 15 6       Trium inter Caudam & Rhombum Austrina
 309 Del  9  9 17 20 +31 50 6       Reliquarum duarum Borealiorum præcedens
 310 Del 10  9 19 00 +31 30 6                                     sequens
 311 Equ  1  9 26 20 +20 30 obs Quæ Duarum in Capite præcedens
 312 Equ  2  9 28 00 +20 40 obs                      sequens
 313 Equ  3  9 26 30 +25 30 obs     Duarum in Ore præcedens
 314 Equ  4  9 27 40 +25 00 obs                   sequens
 315 Peg  1 11 17 50 +26 00 2   Quæ In Umbilico, communis cum Capite Andromedæ
 316 Peg  2 11 12 10 +12 30 2       In Lumbis & extrema Ala
 317 Peg  3 11 02 10 +31 00 2       In dextro Humero
 318 Peg  4 10 26 40 +19 40 2       In interscapilio & Alato Humero
 319 Peg  5 11 04 30 +25 30 4       Duarum in Corpore sub Ala Borealior
 320 Peg  6 11 05 00 +25 00 4                                 Australior
 321 Peg  7 10 29 00 +35 00 3       Duarum in dextro Genu Borealior
 322 Peg  8 10 28 30 +34 30 5                             Australior
 323 Peg  9 10 26 10 +29 00 4       Duarum propinquarum in Pectore præcedens
 324 Peg 10 10 27 00 +29 30 4                                      sequens
 325 Peg 11 10 18 50 +18 00 3       Duarum propinquarum in Collo præcedens
 326 Peg 12 10 20 30 +19 00 4                                    sequens
 327 Peg 13 10 21 20 +15 00 5       Duarum in Juba Australior
 328 Peg 14 10 20 30 +16 00 5                      Borealior
 329 Peg 15 10 09 10 +16 50 3       Duarum in Capite propinquarum Borea
 330 Peg 16 10 08 00 +16 00 4                                     Austrina
 331 Peg 17 10 05 20 +22 30 3       In Rostro
 332 Peg 18 10 23 20 +41 10 4       In dextra Suffragine
 333 Peg 19 10 17 40 +34 15 4       In sinistro Genu
 334 Peg 20 10 12 20 +36 50 4       In sinistra Suffragine
 335 And  1 11 25 20 +24 30 3   Quæ In Interscapilio
 336 And  2 11 26 20 +27 00 4       In dextro Humero
 337 And  3 11 24 20 +23 00 4       In sinistro Humero
 338 And  4 11 23 40 +32 00 4       Trium in dextro Brachio Austrina
 339 And  5 11 24 40 +33 30 4                               Borea
 340 And  6 11 25 00 +32 20 5                               Media
 341 And  7 11 19 40 +41 00 4       Trium in Manu dextra Austrina
 342 And  8 11 20 40 +42 00 4                            Media
 343 And  9 11 22 10 +44 00 4                            Borea
 344 And 10 11 24 10 +17 30 4       In sinistro Brachio
 345 And 11 11 25 40 +15 50 4       In Ancone Brachii sinistri
 346 And 12  0 03 50 +25 40 3       Sub Cingulo trium Austrina
 347 And 13  0 01 50 +30 00 4                         Media
 348 And 14  0 02 00 +32 30 4                         Borea
 349 And 15  0 16 50 +28 00 3       Supra Pedem sinistrum
 350 And 16  0 17 10 +37 20 4       In dextro Pede Boreo
 351 And 17  0 15 10 +35 40 4       In dextro Pede, Australior
 352 And 18  0 12 40 +29 00 4       Duarum in sinistro Poplite Borealior
 353 And 19  0 12 00 +28 00 4                                  Australior
 354 And 20  0 10 10 +35 30 5       In dextro Genu
 355 And 21  0 12 40 +34 30 5       Duarum in Syrmate Borea
 356 And 22  0 14 10 +32 30 5                         Austrina
 357 And 23 11 11 40 +44 00 3       Extra præcedit tres in Manu dextra
 358 Tri  1  0 11 00 +16 30 3   Quæ In Apice Trianguli
 359 Tri  2  0 16 00 +20 40 3       Trium in Base præcedens
 360 Tri  3  0 16 20 +19 40 4                     media
 361 Tri  4  0 16 50 +19 00 3                     sequens
 362 Ari  1  0 06 40 +07 20 3   Quæ In Cornu duarum præcedens
 363 Ari  2  0 07 40 +08 20 3                       sequens
 364 Ari  3  0 11 00 +07 40 5       Duarum in Rostro Borealior
 365 Ari  4  0 11 30 +06 00 5                        Australior
 366 Ari  5  0 06 30 +05 30 5       In Cervice
 367 Ari  6  0 17 40 +06 00 6       In Renibus
 368 Ari  7  0 21 20 +04 50 5       In Eductione Caudæ
 369 Ari  8  0 23 50 +01 40 4       Trium in Cauda præcedens
 370 Ari  9  0 25 20 +02 30 4                      media
 371 Ari 10  0 27 00 +01 50 4                      sequens
 372 Ari 11  0 19 40 -01 30 5       In Femore Posteriore
 373 Ari 12  0 18 00 -01 30 5       Sub Poplite
 374 Ari 13  0 15 00 -05 15 4       In Extremitate Pedis posterioris
 375 Ari~ 1  0 10 40 +10 00 3       Supra Caput, Hipparcho, in rostro Colli
 376 Ari~ 2  0 21 40 +10 20 4       Lucidior & sequens τω 4 supra Dorsum
 377 Ari~ 3  0 21 20 +12 40 5       Supra Dorsum quatuor Informium, præced. Borea
 378 Ari~ 4  0 19 40 +10 40 5                                               Media
 379 Ari~ 5  0 19 10 +10 40 5                                               Austrina
 380 Tau  1  0 26 20 -06 00 4   Quæ Borea de quatuor in Sectione
 381 Tau  2  0 26 00 -07 15 4       Hanc sequitur
 382 Tau  3  0 24 20 -08 30 4       Hanc adhuc sequitur
 383 Tau  4  0 21 20 -09 15 4       De quatuor in Sectione Australissima
 384 Tau  5  0 29 40 -09 30 5       Has sequitur in dextri Humeri Scapula
 385 Tau  6  1 03 20 -08 00 3       In Pectore
 386 Tau  7  1 06 40 -12 40 4       In dextro Genu
 387 Tau  8  1 03 00 -14 50 4       In Suffragine dextra
 388 Tau  9  1 12 10 -10 00 4       In sinistro Genu
 389 Tau 10  1 13 00 -13 00 4       In sinistro Cubito
 390 Tau 11  1 09 00 -05 45 3       De quinq; in Facie dictis Suculæ in Naribus
 391 Tau 12  1 10 20 -04 15 3       Inter hanc & Oculum Boreum
 392 Tau 13  1 10 50 -05 50 3       Inter 11am (γ) & Austrinum Oculum
 393 Tau 14  1 12 40 -05 10 1       Splendida in Ausrino Oculo
 394 Tau 15  1 11 50 -03 00 3       In Boreo Oculo
 395 Tau 16  1 17 10 -04 00 4       In Eductione Cornu Austrini, & in Aure
 396 Tau 17  1 20 20 -05 00 5       Duarum in Cornu Australis
 397 Tau 18  1 20 00 -03 30 5                       Borealior
 398 Tau 19  1 27 40 -02 30 3       In Extremitate Cornu Austrini
 399 Tau 20  1 15 40 -00 15 4       In Eductione Cornu Borei
 400 Tau 21  1 25 40 +05 00 2       In Extrem. Cornu Borei, cummun. cum Pede Aurigæ
 401 Tau 22  1 12 00 +00 30 5       Duarum propinquarum in Aure dextra, Borealior
 402 Tau 23  1 11 40 +00 15 5                                           Australior
 403 Tau 24  1 07 00 -00 40 5       Duarum parvularum in Collo præcedens
 404 Tau 25  1 09 00 +01 00 6   Quæ Duarum parvularum in Collo sequens
 405 Tau 26  1 08 00 +05 00 5       Ιn Cervice Australis præcedentis Lateris quadrilateri
 406 Tau 27  1 08 30 +07 20 5       Borea ejusdem Lateris
 407 Tau 28  1 12 00 +03 00 5       Australis sequentis Lateris
 408 Tau 29  1 11 40 +05 00 5       Borea sequentis Lateris
 409 Tau 30  1 02 10 +04 30 5       Pleiadum Boreus terminus præcedentis Lateris
